Status,Product Area,Response,Justification,Request Type
Escalated,pre_built_connectors,This issue appears to require human review or investigation. Please contact the appropriate support team for further assistance.,"Escalated because the issue appears to indicate a service outage, platform failure, or requires human investigation.",bug
Escalated,ashby,This issue appears to require human review or investigation. Please contact the appropriate support team for further assistance.,"Escalated because the issue appears to indicate a service outage, platform failure, or requires human investigation.",bug
Escalated,travel_support,This issue appears to require human review or investigation. Please contact the appropriate support team for further assistance.,"Escalated because the issue appears to indicate a service outage, platform failure, or requires human investigation.",bug
Escalated,community,This issue appears to require human review or investigation. Please contact the appropriate support team for further assistance.,"Escalated because the issue appears to indicate a service outage, platform failure, or requires human investigation.",bug
Escalated,community,This issue appears to require human review or investigation. Please contact the appropriate support team for further assistance.,"Escalated because the issue appears to indicate a service outage, platform failure, or requires human investigation.",bug
Replied,screen,"h less than two years of hands-on, real-world experience. HackerRank has put together the following best practices process for hiring early talent developers. From resume submission to onsite interview up to the final offer, HackerRank can help streamline this process so that your team is spending as much time as possible effectively evaluating the right skills for the role",Matched documentation in the 'screen' support area and generated a response from the retrieved articles.,product_issue
Replied,community,". Confirm submission by clicking **Yes, close this test**. You will not be able to make additional changes after submission",Matched documentation in the 'community' support area and generated a response from the retrieved articles.,product_issue
Escalated,practice_coding_challenges,This issue appears to require human review or investigation. Please contact the appropriate support team for further assistance.,"Escalated because the issue appears to indicate a service outage, platform failure, or requires human investigation.",bug
Replied,screen,"GrbwwWd6rO4rsoUAKGk35cfHjjXUrFgP2fPuozNIXltkeX~4W52arWBxmvrx8YfveW3z3FxYETVcmAMLqm4cZeYr4EoRTS7fJPnHnKgfOCFhAVwORPiwXPEht95Fef6kljB0CSprFdJEN0hQoabrFszPSdgISH8wPEv-FiwXa7gvoAZJUnvAyYAoD74yOb4sNfNonzH~Ggb21i0g6GFrkyKh1w__&Key-Pair-Id=K3NV4LZ47N8M46) **Note**: These notifications are only visible to the person who is facing the problem with their internet connection, while the others in the interview can monitor each other's network strength via signal bars on the top right corner.",Matched documentation in the 'screen' support area and generated a response from the retrieved articles.,product_issue
Replied,oracle_recruiting_cloud,"complete an assessment while filling out the job application and before submitting it. We recommend using this trigger type only for HackerRank Tests. At this stage, a live HackerRank Interview would not be a logical assessment",Matched documentation in the 'oracle_recruiting_cloud' support area and generated a response from the retrieved articles.,product_issue
Replied,interview_settings,"within two minutes. # Screen sharing during interviews Interviewers and candidates can share their screens during interviews to improve collaboration and communication. Screen sharing allows real-time interaction and visibility when reviewing designs, code, documents, and other relevant materials",Matched documentation in the 'interview_settings' support area and generated a response from the retrieved articles.,product_issue
Escalated,,This issue appears to require human review or investigation. Please contact the appropriate support team for further assistance.,"Escalated because the issue appears to indicate a service outage, platform failure, or requires human investigation.",bug
Replied,screen,remove access for any user or team from an interview template. To remove access: 1. Go to **Interviews \> Templates**,Matched documentation in the 'screen' support area and generated a response from the retrieved articles.,product_issue
Replied,user_account_settings_and_preferences,"automatic resume date. ### Resuming Your Subscription If you attempt to log in during the paused period, you cannot access your HackerRank account. A popup notification will inform you of the status of the pause",Matched documentation in the 'user_account_settings_and_preferences' support area and generated a response from the retrieved articles.,product_issue
Escalated,conversation_management,This issue appears to require human review or investigation. Please contact the appropriate support team for further assistance.,"Escalated because the issue appears to indicate a service outage, platform failure, or requires human investigation.",bug
Escalated,general_support,This issue appears to require human review or investigation. Please contact the appropriate support team for further assistance.,"Escalated because the issue appears to indicate a service outage, platform failure, or requires human investigation.",bug
Escalated,job_search_and_applications,This issue appears to require human review or investigation. Please contact the appropriate support team for further assistance.,"Escalated because the issue appears to indicate a service outage, platform failure, or requires human investigation.",bug
Replied,community,"**Update Name**. The platform updates your certificate with the new name. **Why did I not receive my certificate after completing the test?** If you have not received your certificate, follow these steps: 1",Matched documentation in the 'community' support area and generated a response from the retrieved articles.,product_issue
Replied,small_business,"ay be located on the front or back of your Visa card. If you need any further support, please call Visa using the drop-down menu above. ### How do I dispute a charge? To dispute a charge, please contact your issuer or bank using the freephone number (only free when dialling from within the USA) located on the front or back of your Visa card",Matched documentation in the 'small_business' support area and generated a response from the retrieved articles.,product_issue
Escalated,privacy,This issue appears to require human review or investigation. Please contact the appropriate support team for further assistance.,"Escalated because the issue appears to indicate a service outage, platform failure, or requires human investigation.",bug
Replied,privacy,"domain that you wish to opt out from. An example of this is: User-agent: ClaudeBot Disallow: / Opting out of being crawled by Anthropic Bots requires modifying the robots.txt file in the manner above. Alternate methods like blocking IP address(es) from which Anthropic Bots operates may not work correctly or persistently guarantee an opt-out, as doing so impedes our ability to read your robots.txt file",Matched documentation in the 'privacy' support area and generated a response from the retrieved articles.,product_issue
Replied,travel_support,your card isn’t flagged for unusual activity. ### Know the emergency numbers for lost or stolen cards Take note of your card account number and the telephone number for the Visa Global Customer Assistance Services (GCAS) of the country you are travelling to. Visa cardholders can report lost or stolen Visa cards and request emergency services by calling the GCAS number,Matched documentation in the 'travel_support' support area and generated a response from the retrieved articles.,product_issue
Replied,conversation_management,"r Program? Through the Development Partner Program, eligible organizations can contribute to improving Claude by voluntarily sharing their Claude Code sessions with us. #### Key Information - Under the Development Partner Program, only your Claude Code input and output tokens from the first-party Claude API are provided to us. Data sharing does not apply to Claude apps or API calls unrelated to Claude Code, when using our commercial products",Matched documentation in the 'conversation_management' support area and generated a response from the retrieved articles.,product_issue
Replied,,"This request is outside the scope of the support agent. The agent can only assist with HackerRank, Claude, and Visa support topics.","The request is outside the scope of the supported HackerRank, Claude, or Visa support domains.",invalid
Escalated,general_support,This issue appears to require human review or investigation. Please contact the appropriate support team for further assistance.,"Escalated because the issue appears to indicate a service outage, platform failure, or requires human investigation.",bug
Escalated,conversation_management,This issue appears to require human review or investigation. Please contact the appropriate support team for further assistance.,"Escalated because the issue appears to indicate a service outage, platform failure, or requires human investigation.",bug
Replied,screen,"nternet connection, you can reinvite them to retake the test at any time. You do not need to delete the previous invite or attempt before sending a new one. **Note:** When you reinvite a candidate, their previous report is automatically deleted",Matched documentation in the 'screen' support area and generated a response from the retrieved articles.,product_issue
Replied,conversation_management,"ID** (found in Canvas Admin -> Developer Keys) 3. **Deployment ID** (found in Canvas Admin -> Settings -> Apps -> View App Configurations -> Claude LTI Settings Button -> Deployment ID) 5. Click ""Save Changes."" The integration should now show as enabled",Matched documentation in the 'conversation_management' support area and generated a response from the retrieved articles.,product_issue
Replied,general_support,", you can take action immediately by [filling out this form.](/Forms/visa-rules.html) ### Can a merchant set a maximum or minimum limit for using my Visa card? In general, a merchant is not permitted to establish a minimum or maximum amount for a Visa transaction. However, exceptions apply in the USA and US territories – like Puerto Rico, the US Virgin Islands and Guam. In those locations, and only for credit cards, a merchant may require a minimum transaction amount of US\$10",Matched documentation in the 'general_support' support area and generated a response from the retrieved articles.,product_issue
